Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(1) 속도 크기 - cm/s
168,5.2474766e+04,-6.2645961e+04,1.3800000e+04,8.0807657e+00,7.6752740e+02,7.3600983e+01,7.7109064e+02
169,5.5501070e+04,-6.2645961e+04,1.3800000e+04,1.3192190e+01,7.6181970e+02,7.1220581e+01,7.6525531e+02
170,5.8527375e+04,-6.2645961e+04,1.3800000e+04,1.1511266e+01,7.2399139e+02,6.4033310e+01,7.2690875e+02
171,6.1553680e+04,-6.2645961e+04,1.3800000e+04,5.5130224e+00,7.6006311e+02,6.7064384e+01,7.6303601e+02
172,6.4579984e+04,-6.2645961e+04,1.3800000e+04,-4.0425439e+00,7.6664301e+02,5.6437614e+01,7.6872815e+02
173,6.7606289e+04,-6.2645961e+04,1.3800000e+04,-9.2710752e+00,7.7394263e+02,5.3815796e+01,7.7586676e+02
174,7.0632594e+04,-6.2645961e+04,1.3800000e+04,-1.3682914e+01,7.6022382e+02,5.2856194e+01,7.6218188e+02
175,7.3658898e+04,-6.2645961e+04,1.3800000e+04,-1.3951256e+01,7.6996448e+02,4.1794731e+01,7.7122418e+02
176,7.6685203e+04,-6.2645961e+04,1.3800000e+04,-1.3572954e+01,7.7628979e+02,4.0872971e+01,7.7748358e+02
177,7.9711500e+04,-6.2645961e+04,1.3800000e+04,-1.2903367e+01,7.5314520e+02,4.4457996e+01,7.5456653e+02
178,8.2737805e+04,-6.2645961e+04,1.3800000e+04,-7.5200119e+00,7.5645337e+02,4.6064880e+01,7.5789197e+02
179,8.5764109e+04,-6.2645961e+04,1.3800000e+04,2.3019662e+00,7.3771887e+02,4.1494904e+01,7.3888855e+02
180,8.8790414e+04,-6.2645961e+04,1.3800000e+04,1.9379232e+01,7.4800500e+02,4.9284203e+01,7.4987732e+02
181,9.1816719e+04,-6.2645961e+04,1.3800000e+04,3.6800335e+01,7.6461786e+02,4.8454273e+01,7.6703491e+02
182,9.4843023e+04,-6.2645961e+04,1.3800000e+04,4.2211349e+01,7.7545062e+02,4.3883278e+01,7.7783752e+02
